,Wall time,Step,Value
0,1670895737.849777,0,0.3518693745136261
1,1670896020.489548,1,0.14932036399841309
2,1670896301.3667376,2,0.14595437049865725
3,1670896571.4590387,3,0.1443348377943039
4,1670896844.0288086,4,0.11645049601793288
5,1670897128.949159,5,0.10398626327514647
6,1670897408.0065136,6,0.10396961867809296
7,1670897685.9590561,7,0.10391209274530412
8,1670897971.1691105,8,0.10376392304897307
9,1670898254.9498885,9,0.10416500270366667
10,1670898530.992075,10,0.1039874404668808
11,1670898807.8550224,11,0.10374882072210312
12,1670899091.7241864,12,0.10386089235544203
13,1670899368.8374407,13,0.1038915067911148
14,1670899652.9951012,14,0.10420123487710953
15,1670899935.5899036,15,0.10381245613098143
16,1670900217.5238054,16,0.1042412742972374
17,1670900502.634898,17,0.10391555726528168
18,1670900794.0703936,18,0.10357926040887833
19,1670901078.3154335,19,0.1042170748114586
20,1670901365.70906,20,0.10383840650320053
21,1670901655.9000475,21,0.10378754138946532
22,1670901942.8529794,22,0.10392764955759047
23,1670902231.447132,23,0.10384432971477507
24,1670902513.4895167,24,0.10397622734308244
25,1670902795.4122136,25,0.10426957905292512
26,1670903081.8348787,26,0.10334526747465134
27,1670903366.6270347,27,0.10420212894678116
28,1670903655.9807847,28,0.10388002544641496
29,1670903945.159298,29,0.10403428226709366
30,1670904238.5423193,30,0.10363062471151352
31,1670904527.822717,31,0.10452213138341904
32,1670904811.1002789,32,0.10366590321063997
33,1670905097.2595124,33,0.10394106060266496
34,1670905380.3625946,34,0.10377112030982973
35,1670905668.8614874,35,0.10380883514881134
36,1670905963.3091035,36,0.10412642359733583
37,1670906243.922481,37,0.10410603880882263
38,1670906523.478685,38,0.10396312922239304
39,1670906810.9239216,39,0.10404084622859956
40,1670907093.3294446,40,0.10382910072803496
41,1670907379.2094164,41,0.10383321344852448
42,1670907661.3546855,42,0.10318503528833388
43,1670907945.4347405,43,0.10449401289224623
44,1670908225.2752585,44,0.10398006439208984
45,1670908508.7301831,45,0.1037960797548294
46,1670908791.3314135,46,0.10391249507665634
47,1670909076.8569148,47,0.10408227145671843
48,1670909356.6292346,48,0.10353365540504456
49,1670909640.247921,49,0.1042965203523636
50,1670909925.9369538,50,0.10386832803487778
51,1670910212.2289534,51,0.10401736944913864
52,1670910489.9501116,52,0.10396477580070496
53,1670910773.999155,53,0.10380697250366212
54,1670911054.9695342,54,0.1042589396238327
55,1670911337.2795427,55,0.10346215963363647
56,1670911625.9388213,56,0.10389230400323868
57,1670911911.1504967,57,0.10427942872047424
58,1670912176.5985546,58,0.10366935282945633
59,1670912437.406971,59,0.10382334887981416
60,1670912694.3670158,60,0.10428572446107864
61,1670912950.1451867,61,0.10355514287948607
62,1670913206.9749978,62,0.10387809574604034
63,1670913464.3221138,63,0.10430047661066057
64,1670913720.7298074,64,0.10349369049072266
65,1670913974.6448152,65,0.10431016981601716
66,1670914229.2823038,66,0.10336770117282867
67,1670914482.2870984,67,0.10411975532770157
68,1670914736.5799243,68,0.10419552773237227
69,1670914982.954603,69,0.10369836539030076
70,1670915234.3260312,70,0.10391891747713088
71,1670915485.366156,71,0.10429224371910097
72,1670915741.3694758,72,0.10422496497631073
73,1670915995.732529,73,0.10381336510181427
74,1670916250.2481105,74,0.10370684415102004
75,1670916501.6217074,75,0.10423632711172104
76,1670916752.3206685,76,0.10331010818481444
77,1670917008.032516,77,0.10383418202400208
78,1670917262.5105093,78,0.1043725237250328
79,1670917512.56667,79,0.1040504425764084
80,1670917761.0438585,80,0.10382455587387084
81,1670918012.878494,81,0.1036977469921112
82,1670918263.1400669,82,0.10430312156677246
83,1670918511.4252114,83,0.10298649966716766
84,1670918763.4907484,84,0.1053660660982132
85,1670919014.3083189,85,0.10340415686368942
86,1670919267.939392,86,0.103632815182209
87,1670919521.7240992,87,0.10398714244365692
88,1670919778.0274794,88,0.10404089093208313
89,1670920031.0177279,89,0.10355117172002792
90,1670920293.7197616,90,0.1043645441532135
91,1670920549.204527,91,0.10384516417980194
92,1670920802.3960488,92,0.10389968752861024
93,1670921056.016838,93,0.10381215065717696
94,1670921316.7647698,94,0.10390391200780867
95,1670921574.4378006,95,0.10359517484903336
96,1670921838.3336751,96,0.1046694442629814
97,1670922106.5526824,97,0.1034713089466095
98,1670922356.9215322,98,0.1042555570602417
99,1670922597.523918,99,0.10375805199146272
